Date,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
,Apple,Amazon,Googlele,Microsoft,Tesla,Apple,Amazon,Googlele,Microsoft,Tesla,Apple,Amazon,Googlele,Microsoft,Tesla,Apple,Amazon,Google,Microsoft,Tesla,Apple,Amazon,Google,Microsoft,Tesla,Apple,Amazon,Google,Microsoft,Tesla
2019-02-11 00:00:00+00:00,40.6751976,79.55000305,54.61637497,99.40184021,20.8560009,42.35749817,79.55000305,54.75049973,105.25,20.8560009,42.80250168,80.46450043,55.29724884,106.5800018,21.23999977,42.3125,79.30000305,54.64300156,104.9700012,20.70000076,42.76250076,80.0490036,54.84749985,106.1999969,20.7733326,83973600,66346000,21304000,18914100,106945500
2019-02-12 00:00:00+00:00,41.02571487,81.90049744,55.9311409,100.9507217,20.78733253,42.72249985,81.90049744,56.06850052,106.8899994,20.78733253,42.75,81.97000122,56.26475143,107.1399994,21.21266747,42.42499924,79.94400024,55.29249954,105.4800034,20.64133263,42.52500153,80.19999695,55.34000015,106.1399994,21.07999992,89134000,97172000,32182000,25056600,82764000
2019-02-13 00:00:00+00:00,40.85525513,82,55.87078857,100.8751373,20.54466629,42.54499817,82,56.00799942,106.8099976,20.54466629,43.11999893,82.81900024,56.73649979,107.7799988,20.85000038,42.47999954,81.85549927,55.92499924,106.7099991,20.37133217,42.84749985,82.34999847,56.24950027,107.5,20.82333374,89960800,71206000,20996000,18394900,77124000
2019-02-14 00:00:00+00:00,41.00409698,81.13249969,55.94610596,100.960144,20.25133324,42.70000076,81.13249969,56.08349991,106.9000015,20.25133324,42.81499863,81.89499664,56.41149902,107.2900009,20.45133209,42.34500122,80.3030014,55.52225113,105.6600037,20.06666756,42.42750168,81.22499847,55.90250015,106.3099976,20.22533226,87342800,82410000,18952000,21784700,78012000
2019-02-15 00:00:00+00:00,40.91287994,80.39749908,55.54608536,102.20681,20.5253334,42.60499954,80.39749908,55.68249893,108.2200012,20.5253334,42.92499924,81.44550323,56.58349991,108.3000031,20.53333282,42.4375,80.22499847,55.53250122,107.3600006,20.26000023,42.8125,81.39299774,56.50400162,107.9100037,20.29999924,98507200,86878000,28996000,26606900,58573500
2019-02-19 00:00:00+00:00,41.03530121,81.3789978,55.79098892,102.1595993,20.37599945,42.73249817,81.3789978,55.9280014,108.1699982,20.37599945,42.86000061,81.69999695,56.0945015,108.6600037,20.76933289,42.37250137,80.02799988,55.5,107.7799988,20.36466789,42.42750168,80.05000305,55.5,107.7900009,20.43733215,75891200,73634000,20928000,18038500,62526000
2019-02-20 00:00:00+00:00,41.29937744,81.10500336,55.55356979,101.6284561,20.17066765,43.00749969,81.10500336,55.68999863,107.1500015,20.17066765,43.33000183,81.74649811,56.17050171,107.9400024,20.42000008,42.74750137,80.5059967,55.26399994,106.2900009,19.93333244,42.79750061,81.5,55.99950027,107.8600006,20.29400063,104457600,66752000,21756000,21607700,107131500
2019-02-21 00:00:00+00:00,41.06651306,80.97200012,54.7141304,103.7719803,19.41533279,42.76499939,80.97200012,54.8484993,109.4100037,19.41533279,43.09249878,81.1780014,55.59700012,109.4800034,20.2159996,42.57500076,80.04550171,54.62599945,106.8700027,19.36666679,42.95000076,80.99250031,55.54199982,106.9000015,20.1206665,68998800,69668000,28302000,29063200,133638000
2019-02-22 00:00:00+00:00,41.52505112,81.57800293,55.38249207,105.2516022,19.64733315,43.24250031,81.57800293,55.51850128,110.9700012,19.64733315,43.25,81.74700165,55.56200027,111.1999969,19.76666641,42.84500122,81.0585022,54.77999878,109.8199997,19.47333336,42.89500046,81.17500305,55.04499817,110.0500031,19.63266754,75652800,61924000,20990000,27763200,86109000
2019-02-25 00:00:00+00:00,41.82753754,81.65000153,55.33411026,105.8396454,19.91799927,43.55749893,81.65000153,55.47000122,111.5899963,19.91799927,43.96749878,82.73000336,55.92699814,112.1800003,20.19333267,43.48749924,81.51950073,55.36349869,111.2600021,19.79999924,43.54000092,82.07250214,55.79999924,111.7600021,19.86066628,87493600,63690000,28262000,23750600,99397500
